id	question	category
68	why do people get calluses ?	unknown
69	what are the names of the tourist attractions in reims ?	what
70	what are cushman and wakefield known for ?	what
71	what body of water does the danube river flow into ?	what
72	who is the founder of scientology ?	who
73	what does the six-footed musca domestica become when it enters a house ?	what
74	what is the history of skateboarding ?	what
75	who starred in singing in the rain and the singing nun ?	who
76	how do i make fuel bricks from recycled newspaper ?	unknown
77	what 19th-century painter died in the marquesas islands ?	what
78	the corpus callosum is in what part of the body ?	what
79	how do i log on to home page at headquarters u.s. european command ?	unknown
80	what country did the nazis occupy for ? .	what
81	what is nebraska 's most valuable resource ?	what
82	how many species of the great white shark are there ?	unknown
83	what is the origin of head lice ?	what
84	what is the nickname for the state of mississippi ?	what
85	what was the first domesticated bird ?	what
86	how many villi are found in the small intestine ?	unknown
87	what country did king wenceslas rule ?	what
88	what is a fear of shadows ?	what
89	who were the five marx brothers ?	who
90	in which year was new zealand excluded from the anzus alliance ?	unknown
91	when did cnn begin broadcasting ?	when
92	what causes the body to shiver in cold temperatures ?	what
93	what are bear and bull markets ?	what
94	what j.r.r. tolkien book features bilbo baggins as the central character ?	what
95	what is `` dew point '' ?	what
96	what is the meaning of jesus ?	what
97	what company 's logo is a `` w '' in a circle ?	what
98	what is the definition of a cascade ?	what
99	when did rococo painting and architecture flourish ?	what
100	what country 's national passenger rail system is called via ?	what
101	who invented make-up ?	who
102	what is the origin of the word `` attic '' ?	what
103	what did delilah do to samson 's hair ?	what
104	what kind of animals were in the paleozoic era ?	what
105	which of the following was rhodes scholar ?	unknown
106	who comprised the now-defunct comic book team known as the champions ?	who
107	how do you make a paintball ?	unknown
108	what u.s. state is fort knox in ?	what
109	what is a female rabbit called ?	what
110	where is the highest point in japan ?	unknown
111	where do chihuahuas come from ?	unknown
112	where does barney rubble go to work after he drops fred off in the `` flintstones '' cartoon series ?	unknown
113	what are the world 's four oceans ?	what
114	what 's the only work by michelangelo that bears his signature ?	what
115	what is the largest snake in the world ?	what
116	in what medium is stuart hamblen considered to be the first singing cowboy ?	what
117	where on the internet can i find a song lyrics database similar to the international lyrics server ?	unknown
118	how much money does a back injury lawsuit get ?	unknown
119	what 's the common name for acetylsalicylic acid ?	what
120	what does the georgetown `` hoya '' mean ?	what
121	where can i find a list of `` classic '' books 5th and 6th graders should read ?	unknown
122	which two products use a tiger as their symbol ?	unknown
123	how is the election of a new pope announced to the world ?	unknown
124	how long does it take for your blood to make one complete trip through the body ?	unknown
125	how do chickens have baby chicks ?	unknown
126	what is the historical relationship of catholic church and bingo ?	what
127	how was the element calcium named ?	unknown
128	what crooner joined the andrews sisters for pistol packin mama ?	what
129	what piano company claims its product is the `` instrument of the immortals '' ?	what
130	when did the bounty mutiny take place ?	unknown
131	what novel inspired the movie bladerunner ?	what
132	what is a transistor ?	what
133	what is a film starring jude law ?	what
134	what hollywood dog died in the arms of jean harlow in 1932 ?	what
135	what are the most common elements in the earth 's crust ?	what
136	how much would it cost to purchase a 2-foot-square party tent , with sides , ?	unknown
137	what actress has received the most oscar nominations ?	what
138	what are equity securities ?	what
139	what is gymnophobia ?	what
140	how many years do fossils take to form ?	unknown
141	where is the orinoco ?	unknown
142	what was the name of the `` little rascals '' dog ?	what
143	what city boasts penn 's landing , on the banks of the delaware river ?	what
144	what broadway musical was inspired by cervantes 's don quixote ?	what
145	what is the origin of the word . ?	what
146	how many hostages were killed in the entebbe raid ?	unknown
147	how you can raise your iq ?	unknown
148	what does inri stand for when used on jesus ' cross ?	what
149	who produces spumante ?	who
150	who earns their money the hard way ?	who
151	who founded the people 's temple commune ?	who
152	what athlete makes the most money from sports merchandise sales ?	what
153	how many bends are there in a standard paper clip ?	unknown
154	who discovered electricity ?	who
155	what part of your body contains the corpus callosum ?	what
156	who was the first american in space ?	who
157	what two south american countries do n't border brazil ?	what
158	what album put the beatles on the cover of time in 1967 ?	what
159	what poem contains the line , `` grow old with me the best is yet to be '' . ?	what
160	what is a dental root canal ?	what
161	what war did the wanna-go-home riots occur after ?	what
162	what is the busiest air travel season ?	what
163	what 's the colored part of the eye called ?	what
164	what are hook worms ?	what
165	where is the rose bowl played ?	unknown
166	which japanese car maker had its biggest percentage of sale in the domestic market ?	unknown
167	who is the mayor of marbella ?	who
168	what sun-blasted , 14-mile wide valley is just north of the mojave desert ?	what
169	in what year did thatcher become prime minister ?	what
170	how many months does it take the moon to revolve around the earth ?	unknown
171	where are the 49 steps ?	unknown
172	in what year was de gaulle elected president of france ?	what
173	who sings the themes for `` dawson 's creek '' and `` felicity '' ?	who
174	who directed `` jaws '' ?	who
175	on what t.v. show could tom terrific be found ?	what
176	what indian tribe is f troop perpetually doing battle with ?	what
177	where did indian pudding come from ?	unknown
178	why do some clothing labels say `` use a nonchlorine bleach '' ?	unknown
179	how many colonies were involved in the american revolution ?	unknown
180	what is the name of the city that maurizio pellegrin lives in ?	what
181	where can i find pictorial directions on how to build a very simple treehouse ?	unknown
182	what game 's board shows the territories of irkutsk , yakutsk and kamchatka ?	unknown
183	what is the name of the managing director of apricot computer ?	unknown
184	what is the occupation of nicholas cage ?	unknown
185	why do horseshoes bring luck ?	unknown
186	what is the 401 , k , plan ?	what
187	what causes pneumonia ?	what
188	what are the three winter months in the southern hemisphere ?	what
189	what does gringo mean ?	what
190	what country contains africa 's northernmost point ?	what
191	what therapy attempts to elicit the `` primal scream '' ?	what
192	where is the kalahari desert ?	unknown
193	which ventura county police department seized the largest cocaine shipment in it 's history ?	unknown
194	what city is sometimes called gotham ?	what
195	what dangles over the tongue from the palate ?	what
196	who created dennis the menace ?	who
197	what dummy received an honorary degree from northwestern university ?	what
198	when was the first wall street journal published ?	unknown
199	what countries have the largest areas of forest ?	what
200	how do i start a web based business ?	unknown
201	name alvin 's brothers ?	unknown
202	what is eagle 's syndrome styloid process ?	what
203	how did jayne mansfield die ?	unknown
204	when did the royal wedding of prince andrew and fergie take place ?	when
205	what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ?	what
206	what explorer was nicknamed iberia 's pilot ?	what
207	cnn began broadcasting in what year ?	what
208	what is a ball that hits the foul pole called ?	what
209	what makes hamburgers taste like steakburgers ?	what
210	which company created the internet browser mosaic ?	unknown
211	what are the rites accompanying the circumcision of a newly born-child in judaism called ?	what
212	what was the education system in the 1960 's ?	what
213	what south american city has the world 's highest commercial landing field ?	what
214	how can i find out which cities have cable-modem access ?	unknown
215	what is betsy ross famous for ?	what
216	how many species of sharks are there ?	unknown
217	what is `` snoogans '' ?	what
218	how many people are there in the world ?	unknown
219	what shrubs can be planted that will be safe from deer ?	what
220	what organization 's offices were broken into at watergate in 1972 ?	what
221	what is the design of the ship titanic ?	what
222	what does s.o.s. stand for ?	what
223	name a technique widely used to detect birth defects ?	unknown
224	what is the daily requirement of folic acid for an expectant mother ?	what
225	what is the `` 7-minute cigarette '' ?	what
226	what four forms does gold occur in ?	what
227	what is the acreage of the chappellet vineyard ?	what
228	how do you correctly say the word ` qigong ' ?	unknown
229	when did beethoven die ?	when
230	how much does a new railroad coal car cost ?	unknown
231	what two european countries entered the war of american independence against the british ?	what
232	what is the filmmakers collabrative ?	what
233	what russian composer 's prelude in c sharp minor brought him fame and fortune ?	what
234	what caused harry houdini 's death ?	what
235	who was the mother of the man who would not be king , the duke of windsor ?	who
236	how many revolutions does a standard lp make in three minutes ?	unknown
237	what is the name of the tallest mountain in the world ?	what
238	where can i find a review of nightmare on elm street in a film journal ?	unknown
239	what 's the slowest olympic swimming stroke ?	what
240	what was the name of the first russian astronaut to do a spacewalk ?	what
241	what disease is transmitted by the anopheles mosquito ?	what
242	what rum is so `` mixable '' it is a one-brand bar ?	what
243	how many south american countries have the letter z in their names ?	unknown
244	what is the contents of proposition 98 ?	what
245	where was george washington born ?	unknown
246	how many people on the ground were killed from the bombing of pan am flight 103 over lockerbie , scotland , december 21 , cd . ?	unknown
247	who wrote nn dt nnp nnp '' ?	who
248	what is paracetamol ?	what
249	what are the powers and weaknesses of green lantern 's ring ?	what
250	which mosquito 's bite draws blood , dt nn cc dt nn . ?	unknown
251	when was the first steel mill in the united states built ?	when
252	what diminutive american female gymnast stole the show at the 1984 olympics ?	what
253	what is the origin of the name katie ?	what
254	what schools in the washington , dc nn nn vbp nn nn nn nn . ?	what
255	when did the berlin wall go up ?	unknown
256	who is terrence malick ?	who
257	what instrument is ray charles best known for playing ?	what
258	what 's the meaning of the latin battle cry : ad arma , ad arma . ?	what
259	what is the mascot for notre dame university ?	what
260	what las vegas hotel burned in november , 1980 , with the loss of 84 lives ?	what
261	when did mount st. helen last have a significant eruption ?	when
262	cnn is the abbreviation for what ?	what
263	when did world war i start ?	when
264	how many feet are there in a fathom ?	unknown
265	what is a canada two-penny black ?	what
266	what european city do nicois live in ?	what
267	how can i find out what year a beanie baby was introduced ?	unknown
268	what is the classic definition of tragic hero ?	what
269	to what does microsoft 's windows 3 owe its success ?	what
270	who was president of afghanistan in 1994 ?	who
271	what are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?	what
272	what did brontosauruses eat ?	what
273	what color bottles do good rhine wines come in ?	what
274	who was the lead actress in the movie ` sleepless in seattle ' ?	who
275	who was the 16th president of the united states ?	who
276	who are the two sons of ozzie and harriet nelson ?	who
277	what is molybdenum ?	what
278	when is boxing day ?	what
279	what is the lowest level of the american judiciary ?	what
280	when was the battle of the somme fought ?	when
281	how many people did randy craft kill ?	unknown
282	what 's the official animal of canada ?	what
283	when did spielberg direct `` jaws '' ?	when
284	what is the size of the largest akita ?	what
285	what animal has the biggest eyes ?	what
286	what is california 's capital ?	what
287	who was the author of the book about computer hackers called `` the cuckoo 's egg : tracking a spy through the maze of computer espionage '' ?	who
288	who was the founding member of the pink floyd band ?	who
289	what european country is home to the beer-producing city of budweis ?	what
290	how do i find the balance of my social security account ?	unknown
291	what is the history of valentine 's day cards ?	what
292	where was christopher columbus born ?	unknown
293	what do italians call florence ?	what
294	how do you get to the top of the eiffel tower ?	unknown
295	what does ` psi ' stand for ?	what
296	what sea did the romans call mare nostrum ?	what
297	what 's the term for a bet before cards are dealt ?	what
298	which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?	unknown
299	what city did the flintstones live in ?	what
300	what is latin for incompetent ?	what
301	what chemicals are used in lethal injection ?	what
302	what toy company is the world 's no.1 maker of female apparel ?	what
303	what board game does a `` wood-pusher '' play poorly ?	what
304	which doonesbury character was likely to turn into a werewolf ?	unknown
305	what is the abbreviation for micro ?	what
306	what are the 7 articles of the constitution ?	what
307	who has won the most super bowls ?	who
308	what does nasdaq stand for ?	what
309	what is bph ?	what
310	what is the fastest commercial automobile that can be bought in the us ?	what
311	what stadium do the miami dolphins play their home games in ?	what
312	who has the only speaking role in `` silent movie '' ?	who
313	why is poop sometimes different colors ?	unknown
314	what was einstein 's iq ?	what
315	what day was pearl harbor attacked in 1942 ?	what
316	what girl 's name is `` teddy '' an affectionate form of ?	what
317	what state is john f. kennedy buried in ?	what
318	what is the best way to remove wallpaper ?	what
319	what u.s. state has an element named for it ?	what
320	what company tabulates the ballots in voting for the academy awards ?	what
321	how did the tradition of best man start ?	unknown
322	how many years ago did the ship titanic sink ?	unknown
323	what is the deepest area of the arctic ocean ?	what
324	what are halloween 's colors ?	what
325	how is silk screening done ?	unknown
326	what is the latitude and longitude of el paso , texas ?	what
327	who made a boat out of gopher wood ?	who
328	where can i find a `` fifth element '' screensaver ?	unknown
329	which bloom county resident wreaks havoc with a computer ?	unknown
330	how do you match a name to a social security number ?	unknown
331	how does a rainbow form ?	unknown
332	what is the normal resting heart rate of a healthy adult ?	what
333	what is the population of ohio ?	what
334	how many calories are there in a big mac ?	unknown
335	hazmat stands for what ?	what
336	what creature scares people in the film `` jaws '' ?	what
337	what part did john peter zenger play in the deveopment of the newspaper in america ?	what
338	who followed caesar ?	who
339	what are the four elements ?	what
340	who was the first woman golfer to earn a million ?	who
341	what 's the tallest piece on a chessboard ?	what
342	what is answers.com 's address ?	what
343	where can i buy movies on videotape online ?	unknown
344	who does the advertizing for frito-lay ?	who
345	who is the leading competitor of trans union company ?	who
346	what product did robert conrad dare people to knock off his shoulder ?	what
347	who invented the radio ?	who
348	what 's the american dollar equivalent for 8 pounds in the u.k. ?	what
349	what are the different approaches of systems analysis ?	what
350	how do doctors diagnose bone cancer ?	unknown
351	who is the man behind the pig-the man who pulls the strings and speaks for miss piggy ?	unknown
352	what is the speed of the mississippi river ?	what
353	what are the developmental stages of a swimmer ?	what
354	what actor first portrayed james bond ?	what
355	what ocean is the largest in the world ?	what
356	who was the first american poet to win the nobel prize for literature , in 1948 ?	who
357	what year did jack nicklaus join the professional golfers association tour ?	what
358	how many sonnets did shakespeare write ?	unknown
359	what causes the redness in your cheeks when you blush ?	what
360	who won the nobel peace prize in 1991 ?	who
361	who are the challengers of the unknown ?	who
362	define the pheonix club ?	unknown
363	which city did christian crusaders fight to recapture from the muslims ?	unknown
364	what does it mean `` rupee depreciates '' ?	what
365	what gaming devices were dubbed `` mississippi marbles '' and `` memphis dominoes '' ?	what
366	who was the first coach of the cleveland browns ?	who
367	how successful is arometherapy ?	unknown
368	what jewish holiday saw the start of the 1973 mideast war ?	what
369	how does a copier work ?	unknown
370	what is the speed of the mississippi river ?	what
371	who said of super bowl iii in 1969 : `` we 'll win- i guarantee it '' ?	who
372	what is dudley do-right 's horse 's name ?	what
373	who declared : `` i am down on whores and i shan 't stop ripping them '' ?	who
374	where does chocolate come from ?	unknown
375	what tv game show once saw a contestant admit to picking his toes in the shower ?	what
376	what soviet leader owned a rolls-royce ?	what
377	where can i find a case on individuals with disabilities education act of 1991 ?	unknown
378	what war did florence nightingale tend the troops in ?	what
379	who wrote the song , `` stardust '' ?	who
380	how many beatles ' records went #1 ?	unknown
381	who is the only prime minister of canada to serve 22 years but not necessarily consecutively ?	who
382	what is the abbreviation of the company name ` general motors ' ?	what
383	what mountains lie between the arkansas and missouri rivers ?	what
384	who received the will rogers award in 1989 ?	who
385	what is the function of ram ?	what
386	what 's the closest g2 spectrum yellow dwarf to earth ?	what
387	how many equal angles are there in an isosceles triangle ?	unknown
388	what is the fear of cockroaches called ?	what
389	what cbs soap opera was interrupted by the bulletin of john f. kennedy 's assassination ?	what
390	what is the use of a 24-hour clock instead of a 12-hour clock ?	what
391	what was the name of the lawyer who represented randy craft ?	what
392	what united states president had dreamed that he was assassinated ?	what
393	what film did lee marvin win the 1965 best actor oscar for ?	what
394	where is basque country located ?	unknown
395	what product does `` mrs. olsen '' promote ?	what
396	what time of day did emperor hirohito die ?	when
397	what is dry ice ?	what
398	what 's the most powerful card in euchre ?	what
399	what does `` intractable plantar keratoma '' mean ?	what
400	how many years did it take james joyce to write ulysses ?	unknown
401	what crop failure caused the irish famine ?	what
402	what south korean city is served by kimpo international airport ?	what
403	how many types of dogs ' tails are there - three ?	unknown
404	what is the longest-running television series ?	what
405	what predators exist on antarctica ?	what
406	what is the difference between a generator and an alternator ?	what
407	how is energy created ?	unknown
408	what beer advertised that it had `` three rings '' ?	what
409	what is the quantity of american soldiers still unaccounted for from the vietnam war ?	what
410	what golfing accessory was patented by george grant on december 12 ?	what
411	what are the different types of plastic ?	what
412	how is it correct to say ` qigong ' ?	unknown
413	what was the highest mountain on earth before mount everest was discovered ?	what
414	where was the ligurian republic , 1797-185 , ?	unknown
415	what country 's people are the top television watchers ?	what
416	when was the women 's suffrage amendment ratified ?	when
417	what polynesian people inhabit new zealand ?	what
418	what movie tour of the roman empire features the admonition : `` row well and live '' ?	what
419	what nevada center has been dubbed the biggest little city in the world ?	what
420	what president lived at 219 north delaware street , independence , missouri ?	what
421	give a reason for american indians oftentimes dropping out of school . ?	unknown
422	where must a soccer goalie stand to be permitted to handle the ball ?	unknown
423	what is the difference between classical conditioning and operant conditioning ?	what
424	in what u.s. state was the first woman governor elected ?	unknown
425	what are some interesting facts and information about dogsledding ?	what
426	what year did hitler die ?	when
427	what famous model was married to billy joel ?	what
428	what kind of animal is babar ?	what
429	what is jane goodall known for ?	what
430	what killed bob marley ?	what
431	how much money are dumbo 's ears insured for ?	unknown
432	who danced into stardom with fred astaire in 1941 's you 'll never get rich ?	who
433	who is stein eriksen ?	who
434	what does the name billie mean ?	what
435	who is the fastest swimmer in the world ?	who
436	what is the highest peak in africa ?	what
437	where is procter & gamble headquartered in the u.s. ?	unknown
438	what desert has been called the garden of allah ?	what
439	what do bicornate animals have two of ?	what
440	what function does a community 's water tower serve ?	what
441	what is a fear of weakness ?	what
442	how many miles is it to ohio from north carolina ?	unknown
443	how much snow equals an inch of rain ?	unknown
444	what does g.m.t. stand for ?	what
445	what does inuit and eskimo mean ?	what
446	what song served as the closing theme of the johnny cash show ?	what
447	what field sport did dentist william beers promote and write a standard book of rules for ?	what
448	how do i tie dye clothes ?	unknown
449	when does the average teenager first have intercourse ?	when
450	why doesn 't www.answers.com have any answers to my questions ?	unknown
451	what actor 's autobiography is titled all my yesterdays ?	what
452	what russian master spy lived in the u.s. under the name emil goldfus ?	what
453	where 's the 19th hole on a golf course ?	unknown
454	what 's nature 's purpose for tornadoes ?	what
455	who played the original charlie 's angels ?	who
456	where can i find a person 's address from a telephone number ?	unknown
457	what english word comes from the old french covrefeu , meaning cover fire ?	what
458	what musical instrument did prewitt play in james jones 's from here to eternity ?	what
459	where did sarge steel get his metal hand ?	unknown
460	what makes popcorn pop ?	what
461	who wrote the night of the iguana ?	who
462	where does your hair grow the fastest ?	unknown
463	what country did king gustav v reign over from 197 to 195 ?	what
464	who painted mother and child ?	who
465	what is the speed of the mississippi river ?	what
466	in what area of the world was the six day war fought ?	what
467	what is the brightest star visible from earth ?	what
468	what film marked robert redford 's directorial debut ?	what
469	what was mao 's second name ?	what
470	what film or films has jude law appeared in ?	what
471	where do hyenas live ?	unknown
472	who is the `` queen mother '' ?	who
473	what 's the most commonly-spoken language in belgium ?	what
474	who has more dna - a man or a woman ?	who
475	what are maid-rites ?	what
476	what children 's tale contains the line : `` come , cinderslut , and hold this skein of wool for me '' ?	what
477	what level of government or governmental agency is responsible for dealing with racism ?	what
478	how many referees work a soccer game ?	unknown
479	what cocktail do you concoct with whisky and sweet vermouth ?	what
480	how do you say `` fresh '' in spanish ?	unknown
481	what do bee hives do in cranberry bogs ?	what
482	what caused the lynmouth floods ?	what
483	when is the tulip festival in michigan ?	what
484	who came up with the name , el nino ?	who
485	what movie did madilyn kahn star in with gene wilder ?	what
486	what type of bridge is the golden gate bridge ?	what
487	what dictator has the nickname `` el maximo '' ?	what
488	what stereo manufacturer is `` slightly ahead of its time '' ?	what
489	what u.s. city is the queen of the pacific ?	what
490	what tv sitcom character had the maiden name ethel potter ?	what
491	what was the first lifesaver flavor ?	what
492	who kept the most famous diary in the english language ?	who
493	where can i find out the top 1 singles ?	unknown
494	how many degrees cooler is the inside of a cucumber than the air outside ?	unknown
495	what spanish artist painted crucifixion ?	what
496	what is the jewish bible called ?	what
497	why is the grass green ?	unknown
498	what is a firewall ?	what
499	what spy novelist served as moscow correspondent for reuter and the times of london ?	what
500	which oil company almost picked a word that meant `` stalled car '' in japanese as its new international name ?	unknown
501	how long does it take for spider-man 's web to evaporate ?	unknown
502	who was randy steven craft 's lawyer ?	who
503	what was known as the spice island ?	what
504	who was the first host of person to person ?	what
505	name the ranger who was always after yogi bear . ?	unknown
506	what deck of cards includes the wheel of fortune , the lovers , and death ?	what
507	what does the statue of liberty wear on her feet ?	what
508	who is the superstar in rent-a-cars ?	who
509	mccarren airport is located in what city ?	what
510	what household facility contains a float ball , ballcock , and overflow tube ?	what
511	what was the name of betty boop 's dog ?	what
512	what fraction of a beaver 's life is spent swimming ?	what
513	what was the bridge of san luis rey made of ?	what
514	what do economists do ?	what
515	what country has the largest sheep population ?	what
516	what do i need to do to take my dog with me to live in dominica , west indies for a year ?	what
517	what country is the world 's largest importer of cognac ?	what
518	how many years is johnnie walker black label aged ?	unknown
519	what does sids stand for ?	what
520	what is grenada 's main commodity export ?	what
521	how much would a black-and-white 1-cent stamp be worth , thomas jefferson on it , ?	unknown
522	what makes a clitoris sensitive ?	what
523	what country has the most time zones , with 11 ?	what
524	what `` magic '' does mandrake employ ?	what
525	who is the president of stanford university ?	who
526	whose first presidential order was : `` let 's get this goddamn thing airborne '' ?	unknown
527	what was introduced commercially by bayer a.g. of leverkusen , in 1899 ?	what
528	what city is logan airport in ?	what
529	what is a nanometer ?	what
530	how many innings are there in a regulation softball game ?	unknown
531	when did cnn go on the air ?	when
532	what is the largest city on the great lakes ?	what
533	what is the telephone number for the university of kentucky ?	what
534	who invented baseball ?	who
535	how many wives did brigham young have ?	unknown
536	what product on the market is good for hiding facial scars ?	what
537	how long is the coney island boardwalk ?	unknown
538	what city gained renown for its pea-soup fogs ?	what
539	what does `` janelle '' mean ?	what
540	how do i get another city 's newspaper ?	unknown
541	name a movie about the sioux indians starring kevin costner . ?	unknown
542	who was shot in the back during a poker game in deadwood , the dakota territory ?	who
543	what are the distinct physical characterstics of the arabian horse ?	what
544	what is a fear of thunder ?	what
545	what animal has killed the most people ?	what
546	how many colleges are in wyoming ?	unknown
547	what russian seaport has a name meaning `` lord of the east '' ?	what
548	where can stocks be traded on-line ?	unknown
549	when was the battle of hastings ?	when
550	what kind of file has the extension .dbf ?	what
551	when did muhammad live ?	when
552	what then-derogatory term was applied to the painters monet , sisley , pissarro , renoir and degas ?	what
553	what is a wop ?	what
554	where do rocks come from ?	unknown
555	how do i stop background noise in a car stereo ?	unknown
556	where do people mountain climb in nepal ?	unknown
557	what is the best college in the country ?	what
558	what is viscosity ?	what
559	what was the name of the sitcom that alyssa milano starred in with tony danza ?	what
560	what are the nordic nations ?	what
561	where on the internet can i get information about the fifth amendment on the american bill of rights ?	unknown
562	what u.s. state borders illinois to the north ?	what
563	name a film in which jude law acted . ?	unknown
564	what is the temperature for baking peachy oat muffins ?	what
565	what is a fear of bees ?	what
566	what vladimir nabokov novel features professor humbert in love with a 12-year-old girl ?	what
567	what is a green bog ?	what
568	where did the myth of santa claus originate ?	unknown
569	what does a chairbound basophobic fear ?	what
570	what city is served by logan international airport ?	what
571	what wrestling star became `` the incredible hulk '' ?	what
572	what attracts tourists to reims ?	what
573	what game do steve mcqueen and edward g. robinson play in the cincinnati kid ?	what
574	what fastener did whitcomb judson patent in 1893 ?	what
575	what 's an auberge in france ?	what
576	who was the star of the 1965 broadway hit golden boy ?	what
577	where is procter & gamble based in the u.s. ?	unknown
578	what army was founded by william booth and his wife catherine ?	what
579	what does ribavirin consist of ?	what
580	name the soft drink that is `` number one in the sun . '' ?	unknown
581	what is the web address of the list of e-mail addresses of members of the house of representatives ?	what
582	what was her real name ?	what
583	why are the ears your center of balance ?	unknown
584	who invented the toothbrush ?	who
585	what was the name of that popular song the creeps sang ?	what
586	where is the abominable snowman said to wander ?	unknown
587	what is a fear of being alone ?	what
588	how many dots make up the symbol for `` because '' ?	unknown
589	what do you get by adding lactobacillus bulgaricus to milk ?	what
590	when reading classified ads , what does eenty : other stand for ?	when
591	how many hearts does an octopus have ?	unknown
592	what plant has the largest seed ?	what
593	what was the only country you were allowed to drive into israel from in 1979 ?	what
594	what 's approaching when a cyclist shouts : `` oil '' ?	what
595	what baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?	what
596	what kind of sport is often associated with hooligans ?	what
597	what video game hero do some of his fans call chomper ?	what
598	how many holes are there in a tenpin bowling ball ?	unknown
599	what is the longest word in the english language ?	what
600	in what city or state do the most gay men live in ?	what
601	what tv comediennes 's characters include former movie star nora desmond , secretary mrs. wiggins and a housewife named eunice ?	what
602	what is `` the bear of beers '' ?	what
603	name the operating system that runs on ibm-compatible machines . ?	unknown
604	what does the name `` justin '' mean ?	what
605	what percentage of the body is muscle ?	what
606	what color of dry wine should be served with veal roasts and chops ?	what
607	what is a golf ball made of ?	what
608	what is the amish religion ?	what
609	what does an average daycare provider get paid in new england ?	what
610	what was the name of the 187s irish terrorist group in pennsylvania mining areas ?	what
611	who played the ringo kid in the 1939 film stagecoach ?	who
612	who died 1 feet from where john f. kennedy did ?	who
613	what is the `` coppertop '' battery ?	what
614	what sign is the water carrier the zodiacal symbol for ?	what
615	what animals do you find in the stock market ?	what
616	what is color ?	what
617	when is the site www.questions.com going to open ?	when
618	what did shostakovich write for rostropovich ?	what
619	what first name was nipsy russell given at birth ?	what
620	how can i get some free technical information on electric vehicle ?	unknown
621	who is the youngest of the beatles ?	who
622	how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?	unknown
623	what is a jellicle cat ?	what
624	where can i find the best free evidence for debate about russia ?	unknown
625	what is bill gates of microsoft e-mail address ?	what
626	what is the second hardest substance ?	what
627	why did several san diego schools stop serving apples to students ?	unknown
628	what russian city boasts the hermitage museum ?	what
629	when is bastille day ?	when
630	what makes a tornado turn ?	what
631	how many shots can a stock m16 hold ?	unknown
632	what two colors are you blind to if you suffer from protanopia ?	what
633	why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?	unknown
